,Gene,log2FC,p-value
10068,HYAL2,0.6160641663701605,0.1395864690116268
3318,LMNA,0.6158935387008997,0.13641144778790174
253,VAMP3,0.6155167811879769,0.009061132600392088
2689,NOTCH2,0.6152070147915869,0.12597010893926242
7125,SH3RF3,0.6133004296613906,0.31506437489394856
8379,AOX1,0.6112219406727768,0.39313240320516907
11979,ETV5,0.6092393819109607,0.12860124724068353
8901,PID1,0.6090347117721299,0.19763312390484622
14707,TLR3,0.6089465232914328,0.1641975194345466
4946,GNG4,0.6082979380481004,0.19452357177763363
10698,IFT57,0.605058623520125,0.04595170205802574
8374,SPATS2L,0.6049528861761817,0.15456434789191054
2190,BCAR3,0.6036113699962491,0.3015206957304454
686,EPHB2,0.6035291817701145,0.46538411172681626
7558,GPR39,0.6033313213219145,0.22064132658438773
8283,STAT4,0.6022919325209848,0.14732776882175497
11132,NEK11,0.6018593554763216,0.19142363489612024
4866,RP11-295G20.2,0.6015666813164109,0.1859483373958113
11339,CHST2,0.5998610305178111,0.25381253072860877
8234,TFPI,0.5995105436101267,0.5125892897975546
6399,RAB11FIP5,0.5990792980681157,0.21218239204150632
2126,RP4-665J23.1,0.5990785846721778,0.023156147303693527
4698,EPHX1,0.598690415431471,0.5011994858087871
7774,GALNT13,0.5979745324503685,0.21007091124667102
7568,AC010890.1,0.5975974251185499,0.08631393464787097
13961,RP11-381N20.2,0.5975305719119821,0.367786843612317
11973,IGF2BP2,0.5971700159384326,0.381778046038882
12180,TM4SF19,0.5965486900087561,0.3066621226673328
8289,NABP1,0.5956302540673712,0.33967817862519456
11296,ZBTB38,0.5956173917672163,0.30121106337091275
15898,ARSB,0.5951501339477867,0.14032939249299176
5832,PRKD3,0.5950342004925009,0.12451905483938784
13142,EPHA5,0.5936362172366878,0.3393917263206523
8077,HOXD-AS2,0.5928358793937698,0.007031472537708148
12044,TP63,0.591641804986189,0.54874972618221
13234,SULT1B1,0.5911531954199267,0.42796262390619844
8586,IDH1,0.5888515286418388,0.13251044545960403
13633,ADH5,0.5885075306557237,0.04800747315203454
4450,SERTAD4-AS1,0.5858221247898261,0.30708521547390916
4449,SYT14,0.5858196645764568,0.19944500173263702
8240,GULP1,0.5849377459382057,0.10606162416300406
1603,GLIS1,0.5840412950720015,0.23179190685690004
5686,ZNF512,0.5834573240231609,0.1578633839574735
11936,AP2M1,0.5819294951996046,0.15537513902714215
8880,TM4SF20,0.5816637523041956,0.5449919787083488
13268,SLC4A4,0.5807811392023108,0.43399707606429455
3006,ECM1,0.5776502137889961,0.586618602312472
7504,AC131180.4,0.5743773134282362,0.36251456691672773
